City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Lahaina,US,20.8783,-156.6825,87.8,75,10,6.87,light rain
228,Bilibino,RU,68.0546,166.4372,-2.11,100,100,3.51,overcast clouds
229,Thompson,CA,55.7435,-97.8558,1.74,97,90,1.25,overcast clouds
230,Bangassou,CF,4.7413,22.8184,67.33,96,98,2.44,overcast clouds
231,Shache,CN,38.4167,77.2406,25.68,40,31,1.43,scattered clouds
232,Mokhsogollokh,RU,61.4681,128.9203,-7.67,99,98,2.51,overcast clouds
233,Shingu,JP,33.7333,135.9833,51.19,60,45,16.8,scattered clouds
234,Ambon,ID,-3.6954,128.1814,78.94,94,40,1.14,scattered clouds
235,Alugan,PH,12.2188,125.4808,81.66,82,100,8.7,overcast clouds
236,Sangar,RU,63.9242,127.4739,-15.12,90,100,9.73,overcast clouds
237,Kiri Buru,IN,22.0833,85.35,55.96,59,4,1.48,clear sky
238,Clyde River,CA,70.4692,-68.5914,1.06,95,100,4.25,overcast clouds
239,Marshall,US,34.3834,-86.3333,55.33,70,1,4.61,clear sky
240,Kencong,ID,-8.2833,113.3667,77.27,85,100,1.57,light rain
241,Puri,IN,19.8,85.85,61.32,62,4,10.07,clear sky
242,Digri,PK,25.1558,69.1113,66.11,31,13,5.64,few clouds
243,Mount Gambier,AU,-37.8333,140.7667,67.91,68,40,13.8,scattered clouds
244,Port Hardy,CA,50.6996,-127.4199,50.76,100,20,8.05,moderate rain
245,Pitimbu,BR,-7.4706,-34.8086,79.92,77,71,9.8,broken clouds
246,San Angelo,US,31.4638,-100.437,71.33,44,1,1.99,clear sky
247,Eucaliptus,BO,-17.5833,-67.5167,55.74,59,100,17.25,overcast clouds
248,De Aar,ZA,-30.6497,24.0123,63.72,38,2,6.4,clear sky
249,Kristinehamn,SE,59.3098,14.1081,24.71,83,58,5.7,broken clouds
250,Yeppoon,AU,-23.1333,150.7333,80.38,73,67,3.87,broken clouds
251,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,87,100,8.88,overcast clouds
252,Yarmouth,US,41.7057,-70.2286,39.34,77,90,6.91,overcast clouds
253,Kahului,US,20.8947,-156.47,87.82,65,40,18.41,light rain
254,Edd,ER,13.9297,41.6925,79.21,65,1,11.77,clear sky
255,Toguchin,RU,55.2353,84.3858,-0.42,97,30,3.47,scattered clouds
256,Shiloh,US,38.5614,-89.8973,51.42,71,1,0.0,clear sky
257,East London,ZA,-33.0153,27.9116,66.06,80,78,2.98,light rain
258,Kachug,RU,53.9606,105.8817,19.89,75,99,6.62,overcast clouds
259,Aksarka,RU,66.5606,67.7975,-4.88,98,100,7.34,overcast clouds
260,Kosh-Agach,RU,50.0,88.6667,6.84,76,97,2.01,overcast clouds
261,Praia,CV,14.9215,-23.5087,73.71,68,100,16.75,overcast clouds
262,Minot,US,48.2325,-101.2963,43.12,75,1,10.36,clear sky
263,Valledupar,CO,10.4631,-73.2532,75.94,79,26,2.93,scattered clouds
264,Iqaluit,CA,63.7506,-68.5145,4.6,95,38,4.47,scattered clouds
265,Qasigiannguit,GL,68.8193,-51.1922,21.31,82,94,6.93,overcast clouds
266,Ancud,CL,-41.8697,-73.8203,54.93,81,6,9.31,clear sky
267,Acurenam,GQ,1.0322,10.6488,68.61,95,67,2.04,broken clouds
268,Russell,US,32.3502,-85.1999,53.2,65,1,0.0,clear sky
269,Akniste,LV,56.1615,25.7478,19.38,91,96,8.46,overcast clouds
270,Tiksi,RU,71.6872,128.8694,-22.22,98,99,6.71,overcast clouds
271,Hobyo,SO,5.3505,48.5268,78.37,68,47,17.63,scattered clouds
272,Keetmanshoop,NA,-26.5833,18.1333,68.77,11,0,2.39,clear sky
273,Naze,JP,28.3667,129.4833,57.81,66,99,23.53,overcast clouds
274,Deshnok,IN,27.7986,73.3447,66.69,26,100,5.75,overcast clouds
275,Krasnoselkup,RU,65.7,82.4667,-26.86,100,8,5.59,clear sky
276,Fallon,US,39.4735,-118.7774,59.92,35,20,9.22,few clouds
277,Helong,CN,42.5397,128.9972,11.23,75,56,15.41,broken clouds
278,Rajaldesar,IN,28.0333,74.4667,66.09,27,100,5.06,overcast clouds
279,Requena,ES,39.4883,-1.1004,41.86,74,1,5.39,clear sky
280,Dali,CN,25.7,100.1833,43.05,94,100,2.62,overcast clouds
281,Ust-Kulom,RU,61.6864,53.6902,34.79,98,100,12.66,overcast clouds
282,Belyy Yar,RU,53.6039,91.3903,6.85,87,24,0.0,mist
283,Esperance,AU,-33.8667,121.9,61.03,60,4,4.88,clear sky
284,Labuan,MY,5.2767,115.2417,78.96,77,41,4.18,scattered clouds
285,Harnosand,SE,62.6323,17.9379,14.0,68,100,9.42,overcast clouds
